,data
0,"1 AcademyAddress: 144 Upper Bukit Timah Road #02-21 Beauty World Centre , Singapore 588177 Tel: 82685299		Fax: 	Email: ask1academy@gmail.comSupervisor: Yu Chung Howard		Main Curriculum: TUTORIAL"
1,"3G Enrichment CentreAddress: Blk 425 Hougang Avenue 6 #B1-62  , Singapore 530425 Tel: 63851621/63832823		Fax: 	Email: 3g.enrichment@gmail.comSupervisor: Kng Peck Hong, Cerina (Mdm)		Main Curriculum: TUTORIAL"
2,"3House Learning CentreAddress: Blk 201E Tampines Street 23 #02-102  , Singapore 527201 Tel: 61000048		Fax: 	Email: the3houselearningcentre@hotmail.comSupervisor: Soh Lay Hua, Valarie (Mdm)		Main Curriculum: ENRICHMENT"
3,"3House Learning Centre (Pasir Ris)Address: Blk 273 Pasir Ris Street 21 #01-498  , Singapore 510273 Tel: 61000048		Fax: 	Email: the3houselearningcentre@hotmail.comSupervisor: Hoe Loong Yuan (Ms)		Main Curriculum: ENRICHMENT"
4,"3House Learning Centre (Tampines) [fka MRC Learning Centre (Tampines West)]Address: Blk 866A Tampines Street 83 #03-01  , Singapore 521866 Tel: 61000048		Fax: 	Email: anna.ng@apb.com.sgSupervisor: Ng Geok Ling (Mdm)		Main Curriculum: ENRICHMENT"
5,"5 Steps Learning HubAddress: 22 Orchard Road, 1st Storey Orchard 22 , Singapore 238885 Tel: 86550005		Fax: 	Email: info@5steps.sgSupervisor: Kuznetsov, Alexander (Dr)		Main Curriculum: TUTORIAL"
6,"A & A Education CentreAddress: Blk 258 Pasir Ris Street 21 #05-315 Loyang Point , Singapore 510258 Tel: 65820806		Fax: 65839351	Email: aaedu@singnet.com.sgSupervisor: Yung Kai Chiu		Main Curriculum: TUTORIAL"
7,"A & A Learning CentreAddress: Blk 750 Pasir Ris Street 71 #01-10  , Singapore 510750 Tel: 65820806		Fax: 	Email: aaedu@singnet.com.sgSupervisor: Yung Kai Chiu		Main Curriculum: TUTORIAL"
8,"A1 Learning CentreAddress: Blk 118 Teck Whye Lane #01-768  , Singapore 680118 Tel: 97567740		Fax: 	Email: tanthianhock@yahoo.comSupervisor: Tan Thian Hock		Main Curriculum: TUTORIAL"
9,"A2G Music CentreAddress: Blk 962 Jurong West Street 91 #02-300  , Singapore 640962 Tel: 67956006		Fax: 67951161	Email: cmsadmin@a2gmusic.com.sgSupervisor: Wong Jian Reng		Main Curriculum: FINE ARTS"
