name,address,tel,tel_alt,fax,fax_alt,email,supervisor,curriculum,lat,lng
1 Academy,"144 Upper Bukit Timah Road #02-21 Beauty World Centre , Singapore 588177",82685299,NA,NA,NA,ask1academy@gmail.com,Yu Chung Howard,TUTORIAL,1.3424126418864297,103.776539385678
3G Enrichment Centre,"Blk 425 Hougang Avenue 6 #B1-62  , Singapore 530425",63851621,63832823,NA,NA,3g.enrichment@gmail.com,"Kng Peck Hong, Cerina (Mdm)",TUTORIAL,1.3734232935097,103.893600213613
3House Learning Centre,"Blk 201E Tampines Street 23 #02-102  , Singapore 527201",61000048,NA,NA,NA,the3houselearningcentre@hotmail.com,"Soh Lay Hua, Valarie (Mdm)",ENRICHMENT,1.3529216253600902,103.953858335355
3House Learning Centre (Pasir Ris),"Blk 273 Pasir Ris Street 21 #01-498  , Singapore 510273",61000048,NA,NA,NA,the3houselearningcentre@hotmail.com,Hoe Loong Yuan (Ms),ENRICHMENT,1.36484627527983,103.96411317472601
3House Learning Centre (Tampines) [fka MRC Learning Centre (Tampines West)],"Blk 866A Tampines Street 83 #03-01  , Singapore 521866",61000048,NA,NA,NA,anna.ng@apb.com.sg,Ng Geok Ling (Mdm),ENRICHMENT,1.35528926974978,103.934592110069
5 Steps Learning Hub,"22 Orchard Road, 1st Storey Orchard 22 , Singapore 238885",86550005,NA,NA,NA,info@5steps.sg,"Kuznetsov, Alexander (Dr)",TUTORIAL,1.29902761375207,103.84663324848499
A & A Education Centre,"Blk 258 Pasir Ris Street 21 #05-315 Loyang Point , Singapore 510258",65820806,NA,65839351,NA,aaedu@singnet.com.sg,Yung Kai Chiu,TUTORIAL,1.36706634197247,103.964635610477
A & A Learning Centre,"Blk 750 Pasir Ris Street 71 #01-10  , Singapore 510750",65820806,NA,NA,NA,aaedu@singnet.com.sg,Yung Kai Chiu,TUTORIAL,1.37820860147672,103.93464608673901
A1 Learning Centre,"Blk 118 Teck Whye Lane #01-768  , Singapore 680118",97567740,NA,NA,NA,tanthianhock@yahoo.com,Tan Thian Hock,TUTORIAL,1.3798710278195199,103.750647321595
A2G Music Centre,"Blk 962 Jurong West Street 91 #02-300  , Singapore 640962",67956006,NA,67951161,NA,cmsadmin@a2gmusic.com.sg,Wong Jian Reng,FINE ARTS,1.3418091537790602,103.691512648994
A2G Music Centre (Bukit Gombak),"Blk 371 Bukit Batok Street 31 #02-330  , Singapore 650371",65666080,NA,65666078,NA,cmsadmin@a2gmusic.com.sg,Wong Jian Reng,FINE ARTS,1.35925940866068,103.75069463109001
A2G Music Centre (Marsiling),"Blk 167 Woodlands Street 11 #02-25  , Singapore 730167",63637623,NA,67951131,NA,cmsadmin@a2gmusic.com.sg,Wong Jian Reng,FINE ARTS,1.4335937058671497,103.775884057946
A2G Music Centre (Woodlands Mart),"Blk 768 Woodlands Avenue 6 #01-18 Woodlands Mart , Singapore 730768",63689881,NA,63688292,NA,cmsadmin@a2gmusic.com.sg,Wong Jian Reng,FINE ARTS,1.44562289926403,103.79814099661101
Able Tuition School [fka Ms Tan Chinese Tuition Centre],"Blk 130 Jurong East Street 13 #03-211  , Singapore 600130",64929515,NA,62843691,NA,ableorder@gmail.com,Xu Zhong Min,TUTORIAL,1.3347249046743501,103.739321261736
Abrakadoodle Art Studio for Kids (Rochester),"35 Rochester Drive #03-23 The Rochester , Singapore 138639",66848533,NA,NA,NA,rochester@abrakadoodle.com.sg,Tan Fay Xaing (Mdm),ENRICHMENT,1.3053512123807198,103.78834737032
Abrakadoodle Art Studio for Kids (Singapore),"501 Bukit Timah Road #02-13/15 Cluny Court , Singapore 259760",67639219,NA,67639219,NA,ckhaw@abrakadoodle.com.sg,"Khaw Sing Ping, Charmaine (Mdm)",ENRICHMENT,1.3225731693491498,103.814245542255
Absolute Learning Centre,"Blk 463 Crawford Lane #02-13  , Singapore 190463",91898535,NA,NA,NA,absolutelearningcentre@gmail.com,Sim Heng Lian (Miss),TUTORIAL,1.30505411579749,103.86191675153201
Absolutely Love Learning Campus,"Blk 46 Jalan Bukit Ho Swee #01-876  , Singapore 160046",69067033,NA,NA,NA,enquirytiongbahru@seriouslyaddictivemaths.com.sg,Lee Hok Hiung,TUTORIAL,1.28829579725143,103.826144732416
Academia Education Centre [fka Academia English & Writing Centre],"(Main) 6 Sin Ming Road #01-15 Sin Ming Plaza , Singapore 575585",65544374,NA,NA,NA,secretary@academia.com.sg,"Loh Runming, Johann",TUTORIAL,1.3528637342999,103.836407211393
